Emotion,RMS,Chroma,ZCR
Sad,0.004915,0.64749664,0.26110998
Sad,0.00314767,0.47258875,0.2461986
Sad,0.00246319,0.71258765,0.381351
Sad,0.00736154,0.71258765,0.26136998
Sad,0.00108915,0.69283116,0.31090683
Happy,0.00606284,0.655691,0.3486908
Happy,0.00490527,0.75924194,0.33329427
Happy,0.01074898,0.65457386,0.20588567
Happy,0.00668567,0.67861134,0.32400812
Happy,0.00576444,0.7159544,0.31315104
Fearful,0.00159837,0.77162576,0.25341521
Fearful,0.00083621,0.6183203,0.24379564
Fearful,0.00114453,0.6105001,0.25170737
Fearful,0.00595395,0.58415884,0.26959481
Fearful,0.00358108,0.7002117,0.28653593
Disgust,0.00159837,0.7600071,0.25341521
Disgust,0.00083621,0.6038909,0.24379564
Disgust,0.00114453,0.6105001,0.25170737
Disgust,0.00595395,0.58415884,0.26959481
Disgust,0.00358108,0.7002117,0.28653593
Angry,0.00134853,0.710509,0.31458312
Angry,0.0041536,0.64419985,0.21193677
Angry,0.00985683,0.7444597,0.20554244
Angry,0.00918117,0.7233839,0.19551776
Angry,0.00903535,0.674426,0.19335938
Neutral,0.00361614,0.5475446,0.2701937
Neutral,0.00126101,0.6997521,0.26149793
Neutral,0.00201342,0.6038917,0.30316006
Neutral,0.00223553,0.60020435,0.33965093
Neutral,0.00153962,0.52579206,0.27776367
Surprised,0.00193425,0.57259226,0.28268063
Surprised,0.00495287,0.61861795,0.28906888
Surprised,0.00866448,0.56944615,0.27522447
Surprised,0.00230038,0.5543484,0.26479492
Surprised,0.00475327,0.7416933,0.21723295
